Date,Year,Month,oni,Phase
1982-08-01,1982,8,1.07,El Niño
1982-09-01,1982,9,1.58,El Niño
1982-10-01,1982,10,1.97,El Niño
1982-11-01,1982,11,2.18,El Niño
1982-12-01,1982,12,2.23,El Niño
1983-01-01,1983,1,2.18,El Niño
1983-02-01,1983,2,1.92,El Niño
1983-03-01,1983,3,1.54,El Niño
1983-04-01,1983,4,1.29,El Niño
1983-05-01,1983,5,1.06,El Niño
1983-06-01,1983,6,0.72,El Niño
1983-07-01,1983,7,0.31,Neutral
1983-08-01,1983,8,-0.08,Neutral
1983-09-01,1983,9,-0.46,Neutral
1983-10-01,1983,10,-0.81,La Niña
1983-11-01,1983,11,-1.00,La Niña
1983-12-01,1983,12,-0.91,La Niña
1984-01-01,1984,1,-0.60,La Niña
1984-02-01,1984,2,-0.42,Neutral
1984-03-01,1984,3,-0.34,Neutral
1984-04-01,1984,4,-0.43,Neutral
1984-05-01,1984,5,-0.51,La Niña
1984-06-01,1984,6,-0.45,Neutral
1984-07-01,1984,7,-0.30,Neutral
1984-08-01,1984,8,-0.16,Neutral
1984-09-01,1984,9,-0.24,Neutral
1984-10-01,1984,10,-0.56,La Niña
1984-11-01,1984,11,-0.92,La Niña
1984-12-01,1984,12,-1.14,La Niña
1985-01-01,1985,1,-1.04,La Niña
1985-02-01,1985,2,-0.85,La Niña
1985-03-01,1985,3,-0.77,La Niña
1985-04-01,1985,4,-0.78,La Niña
1985-05-01,1985,5,-0.78,La Niña
1985-06-01,1985,6,-0.63,La Niña
1985-07-01,1985,7,-0.49,Neutral
1985-08-01,1985,8,-0.46,Neutral
1985-09-01,1985,9,-0.40,Neutral
1985-10-01,1985,10,-0.35,Neutral
1985-11-01,1985,11,-0.27,Neutral
1985-12-01,1985,12,-0.36,Neutral
1986-01-01,1986,1,-0.49,Neutral
1986-02-01,1986,2,-0.47,Neutral
1986-03-01,1986,3,-0.31,Neutral
1986-04-01,1986,4,-0.20,Neutral
1986-05-01,1986,5,-0.12,Neutral
1986-06-01,1986,6,-0.04,Neutral
1986-07-01,1986,7,0.22,Neutral
1986-08-01,1986,8,0.44,Neutral
1986-09-01,1986,9,0.71,El Niño
1986-10-01,1986,10,0.94,El Niño
1986-11-01,1986,11,1.14,El Niño
1986-12-01,1986,12,1.22,El Niño
1987-01-01,1987,1,1.23,El Niño
1987-02-01,1987,2,1.19,El Niño
1987-03-01,1987,3,1.06,El Niño
1987-04-01,1987,4,0.95,El Niño
1987-05-01,1987,5,0.97,El Niño
1987-06-01,1987,6,1.22,El Niño
1987-07-01,1987,7,1.51,El Niño
1987-08-01,1987,8,1.70,El Niño
1987-09-01,1987,9,1.65,El Niño
1987-10-01,1987,10,1.48,El Niño
1987-11-01,1987,11,1.25,El Niño
1987-12-01,1987,12,1.11,El Niño
1988-01-01,1988,1,0.81,El Niño
1988-02-01,1988,2,0.54,El Niño
1988-03-01,1988,3,0.14,Neutral
1988-04-01,1988,4,-0.31,Neutral
1988-05-01,1988,5,-0.88,La Niña
1988-06-01,1988,6,-1.30,La Niña
1988-07-01,1988,7,-1.30,La Niña
1988-08-01,1988,8,-1.11,La Niña
1988-09-01,1988,9,-1.19,La Niña
1988-10-01,1988,10,-1.48,La Niña
1988-11-01,1988,11,-1.80,La Niña
1988-12-01,1988,12,-1.85,La Niña
1989-01-01,1989,1,-1.69,La Niña
1989-02-01,1989,2,-1.43,La Niña
1989-03-01,1989,3,-1.08,La Niña
1989-04-01,1989,4,-0.83,La Niña
1989-05-01,1989,5,-0.58,La Niña
1989-06-01,1989,6,-0.40,Neutral
1989-07-01,1989,7,-0.31,Neutral
1989-08-01,1989,8,-0.27,Neutral
1989-09-01,1989,9,-0.24,Neutral
1989-10-01,1989,10,-0.22,Neutral
1989-11-01,1989,11,-0.16,Neutral
1989-12-01,1989,12,-0.05,Neutral
1990-01-01,1990,1,0.14,Neutral
1990-02-01,1990,2,0.21,Neutral
1990-03-01,1990,3,0.28,Neutral
1990-04-01,1990,4,0.29,Neutral
1990-05-01,1990,5,0.29,Neutral
1990-06-01,1990,6,0.31,Neutral
1990-07-01,1990,7,0.33,Neutral
1990-08-01,1990,8,0.38,Neutral
1990-09-01,1990,9,0.39,Neutral
1990-10-01,1990,10,0.35,Neutral
1990-11-01,1990,11,0.40,Neutral
1990-12-01,1990,12,0.41,Neutral
1991-01-01,1991,1,0.41,Neutral
1991-02-01,1991,2,0.26,Neutral
1991-03-01,1991,3,0.22,Neutral
1991-04-01,1991,4,0.26,Neutral
1991-05-01,1991,5,0.45,Neutral
1991-06-01,1991,6,0.64,El Niño
1991-07-01,1991,7,0.73,El Niño
1991-08-01,1991,8,0.64,El Niño
1991-09-01,1991,9,0.62,El Niño
1991-10-01,1991,10,0.79,El Niño
1991-11-01,1991,11,1.21,El Niño
1991-12-01,1991,12,1.53,El Niño
1992-01-01,1992,1,1.71,El Niño
1992-02-01,1992,2,1.63,El Niño
1992-03-01,1992,3,1.48,El Niño
1992-04-01,1992,4,1.29,El Niño
1992-05-01,1992,5,1.06,El Niño
1992-06-01,1992,6,0.73,El Niño
1992-07-01,1992,7,0.37,Neutral
1992-08-01,1992,8,0.09,Neutral
1992-09-01,1992,9,-0.13,Neutral
1992-10-01,1992,10,-0.25,Neutral
1992-11-01,1992,11,-0.28,Neutral
1992-12-01,1992,12,-0.13,Neutral
1993-01-01,1993,1,0.09,Neutral
1993-02-01,1993,2,0.30,Neutral
1993-03-01,1993,3,0.50,El Niño
1993-04-01,1993,4,0.67,El Niño
1993-05-01,1993,5,0.70,El Niño
1993-06-01,1993,6,0.57,El Niño
1993-07-01,1993,7,0.32,Neutral
1993-08-01,1993,8,0.25,Neutral
1993-09-01,1993,9,0.15,Neutral
1993-10-01,1993,10,0.10,Neutral
1993-11-01,1993,11,0.04,Neutral
1993-12-01,1993,12,0.06,Neutral
1994-01-01,1994,1,0.06,Neutral
1994-02-01,1994,2,0.07,Neutral
1994-03-01,1994,3,0.17,Neutral
1994-04-01,1994,4,0.31,Neutral
1994-05-01,1994,5,0.42,Neutral
1994-06-01,1994,6,0.41,Neutral
1994-07-01,1994,7,0.44,Neutral
1994-08-01,1994,8,0.43,Neutral
1994-09-01,1994,9,0.55,El Niño
1994-10-01,1994,10,0.74,El Niño
1994-11-01,1994,11,1.01,El Niño
1994-12-01,1994,12,1.09,El Niño
1995-01-01,1995,1,0.96,El Niño
1995-02-01,1995,2,0.72,El Niño
1995-03-01,1995,3,0.53,El Niño
1995-04-01,1995,4,0.30,Neutral
1995-05-01,1995,5,0.14,Neutral
1995-06-01,1995,6,-0.03,Neutral
1995-07-01,1995,7,-0.24,Neutral
