Split,Reservoir,Week,Model,NSE,RMSE_TMC
test,Tungabhadra,1,clim,-578.548,48.76
test,Tungabhadra,2,v2_ridge,-11.471,7.08
test,Tungabhadra,2,v1_median,-98.079,19.95
test,Tungabhadra,2,persist,-2.228,3.6
test,Tungabhadra,2,clim,-590.647,48.75
test,Tungabhadra,3,v2_ridge,-11.847,7.25
test,Tungabhadra,3,v1_median,-143.517,24.33
test,Tungabhadra,3,persist,-1.715,3.33
test,Tungabhadra,3,clim,-570.038,48.36
test,Tungabhadra,4,v2_ridge,-11.426,7.25
test,Tungabhadra,4,v1_median,-172.371,27.07
test,Tungabhadra,4,persist,0.319,1.7
test,Tungabhadra,4,clim,-541.292,47.88
test,Tungabhadra,5,v2_ridge,-11.175,7.14
test,Tungabhadra,5,v1_median,-195.26,28.68
test,Tungabhadra,5,persist,-0.436,2.45
test,Tungabhadra,5,clim,-549.648,48.04
test,Tungabhadra,6,v2_ridge,-11.772,7.18
test,Tungabhadra,6,v1_median,-201.264,28.58
test,Tungabhadra,6,persist,-2.025,3.49
test,Tungabhadra,6,clim,-581.483,48.5
test,Tungabhadra,7,v2_ridge,-11.861,7.23
test,Tungabhadra,7,v1_median,-184.445,27.45
test,Tungabhadra,7,persist,-2.066,3.53
test,Tungabhadra,7,clim,-569.02,48.13
test,Tungabhadra,8,v2_ridge,-11.61,7.27
test,Tungabhadra,8,v1_median,-152.96,25.39
test,Tungabhadra,8,persist,-0.57,2.56
test,Tungabhadra,8,clim,-543.02,47.73
test,Tungabhadra,9,v2_ridge,-11.242,7.15
test,Tungabhadra,9,v1_median,-117.201,22.21
test,Tungabhadra,9,persist,0.433,1.54
test,Tungabhadra,9,clim,-542.581,47.63
test,Tungabhadra,10,v2_ridge,-11.952,7.21
test,Tungabhadra,10,v1_median,-83.068,18.37
test,Tungabhadra,10,persist,-1.676,3.28
test,Tungabhadra,10,clim,-575.326,48.11
test,Tungabhadra,11,v2_ridge,-11.581,7.34
test,Tungabhadra,11,v1_median,-47.033,14.34
test,Tungabhadra,11,persist,-2.121,3.66
test,Tungabhadra,11,clim,-532.87,47.82
test,Tungabhadra,12,v2_ridge,-9.79,7.55
test,Tungabhadra,12,v1_median,-21.504,10.9
test,Tungabhadra,12,persist,-1.011,3.26
test,Tungabhadra,12,clim,-426.661,47.53
test,Ujjani,1,v2_ridge,-1.207,6.73
test,Ujjani,1,v1_median,-6.954,12.78
test,Ujjani,1,persist,0.911,1.35
test,Ujjani,1,clim,-105.988,46.89
test,Ujjani,2,v2_ridge,-2.021,6.66
test,Ujjani,2,v1_median,-25.86,19.87
test,Ujjani,2,persist,0.549,2.57
test,Ujjani,2,clim,-150.762,47.23
test,Ujjani,3,v2_ridge,-4.287,7.38
test,Ujjani,3,v1_median,-58.535,24.78
test,Ujjani,3,persist,-0.29,3.65
test,Ujjani,3,clim,-217.698,47.5
test,Ujjani,4,v2_ridge,-10.971,9.39
test,Ujjani,4,v1_median,-107.786,28.31
test,Ujjani,4,persist,-1.813,4.55
test,Ujjani,4,clim,-307.986,47.71
test,Ujjani,5,v2_ridge,-18.318,10.4
test,Ujjani,5,v1_median,-167.961,30.76
test,Ujjani,5,persist,-3.932,5.25
test,Ujjani,5,clim,-408.23,47.87
test,Ujjani,6,v2_ridge,-18.992,9.73
test,Ujjani,6,v1_median,-219.934,32.36
test,Ujjani,6,persist,-6.023,5.77
test,Ujjani,6,clim,-484.749,47.98
test,Ujjani,7,v2_ridge,-20.934,9.93
test,Ujjani,7,v1_median,-248.511,33.48
test,Ujjani,7,persist,-7.251,6.09
test,Ujjani,7,clim,-512.965,48.05
test,Ujjani,8,v2_ridge,-25.158,10.9
test,Ujjani,8,v1_median,-259.709,34.43
test,Ujjani,8,persist,-7.441,6.19
test,Ujjani,8,clim,-507.307,48.07
test,Ujjani,9,v2_ridge,-29.4,11.77
test,Ujjani,9,v1_median,-271.427,35.23
test,Ujjani,9,persist,-7.022,6.04
test,Ujjani,9,clim,-504.678,47.99
test,Ujjani,10,v2_ridge,-42.328,13.72
test,Ujjani,10,v1_median,-296.703,35.97
test,Ujjani,10,persist,-6.386,5.67
test,Ujjani,10,clim,-527.847,47.94
test,Ujjani,11,v2_ridge,-55.135,15.59
test,Ujjani,11,v1_median,-310.326,36.72
test,Ujjani,11,persist,-5.682,5.38
test,Ujjani,11,clim,-529.6,47.94
test,Ujjani,12,v2_ridge,-64.33,16.93
test,Ujjani,12,v1_median,-319.149,37.47
test,Ujjani,12,persist,-5.264,5.24
test,Ujjani,12,clim,-523.261,47.95
test,Ukai,1,v2_ridge,-1.975,100.58
test,Ukai,1,v1_median,0.599,36.93
test,Ukai,1,persist,0.872,20.84
test,Ukai,1,clim,-0.16,62.8
test,Ukai,2,v2_ridge,-4.272,134.46
test,Ukai,2,v1_median,-0.338,67.72
test,Ukai,2,persist,0.637,35.29
test,Ukai,2,clim,-0.126,62.13
test,Ukai,3,v2_ridge,-4.607,137.08
test,Ukai,3,v1_median,-1.705,95.21
test,Ukai,3,persist,0.35,46.66
test,Ukai,3,clim,-0.078,60.09
test,Ukai,4,v2_ridge,-5.201,139.29
test,Ukai,4,v1_median,-3.237,115.14
test,Ukai,4,persist,0.059,54.26
test,Ukai,4,clim,-0.068,57.81
test,Ukai,5,v2_ridge,-6.237,141.31
test,Ukai,5,v1_median,-4.964,128.29
test,Ukai,5,persist,-0.264,59.06
test,Ukai,5,clim,-0.112,55.39
test,Ukai,6,v2_ridge,-7.703,143.1
test,Ukai,6,v1_median,-6.854,135.95
test,Ukai,6,persist,-0.664,62.57
test,Ukai,6,clim,-0.228,53.75
test,Ukai,7,v2_ridge,-9.861,144.68
test,Ukai,7,v1_median,-9.159,139.92
test,Ukai,7,persist,-1.188,64.94
test,Ukai,7,clim,-0.268,49.43
test,Ukai,8,v2_ridge,-13.324,146.05
test,Ukai,8,v1_median,-12.704,142.85
test,Ukai,8,persist,-1.937,66.13
test,Ukai,8,clim,-0.31,44.17
test,Ukai,9,v2_ridge,-19.824,147.32
test,Ukai,9,v1_median,-19.474,146.08
test,Ukai,9,persist,-3.181,66.01
test,Ukai,9,clim,-0.451,38.89
test,Ukai,10,v2_ridge,-33.001,148.54
test,Ukai,10,v1_median,-33.001,148.54
test,Ukai,10,persist,-5.623,65.56
test,Ukai,10,clim,-1.186,37.67
test,Ukai,11,v2_ridge,-44.214,149.42
test,Ukai,11,v1_median,-44.214,149.42
test,Ukai,11,persist,-7.786,65.86
test,Ukai,11,clim,-1.615,35.93
test,Ukai,12,v2_ridge,-45.564,149.52
test,Ukai,12,v1_median,-45.564,149.52
test,Ukai,12,persist,-8.209,66.49
test,Ukai,12,clim,-1.713,36.09
val,Almatti,1,v2_ridge,-6.124,54.15
val,Almatti,1,v1_median,-1.449,31.75
val,Almatti,1,persist,-0.679,26.29
val,Almatti,1,clim,-0.338,23.47
val,Almatti,2,v2_ridge,-5.661,53.06
val,Almatti,2,v1_median,-3.169,41.97
val,Almatti,2,persist,-1.371,31.65
val,Almatti,2,clim,-0.358,23.96
val,Almatti,3,v2_ridge,-5.589,53.48
val,Almatti,3,v1_median,-3.578,44.57
val,Almatti,3,persist,-1.056,29.87
val,Almatti,3,clim,-0.418,24.81
val,Almatti,4,v2_ridge,-5.699,53.86
val,Almatti,4,v1_median,-3.993,46.5
val,Almatti,4,persist,0.236,18.19
val,Almatti,4,clim,-0.483,25.34
val,Almatti,5,v2_ridge,-5.591,53.05
val,Almatti,5,v1_median,-4.704,49.35
val,Almatti,5,persist,-0.375,24.23
val,Almatti,5,clim,-0.527,25.53
val,Almatti,6,v2_ridge,-5.458,53.1
val,Almatti,6,v1_median,-5.254,52.25
val,Almatti,6,persist,-1.251,31.35
val,Almatti,6,clim,-0.514,25.71
val,Almatti,7,v2_ridge,-5.209,52.74
val,Almatti,7,v1_median,-5.169,52.57
val,Almatti,7,persist,-1.244,31.71
val,Almatti,7,clim,-0.565,26.48
