Split,Reservoir,Week,Model,NSE,RMSE_TMC
val,Krishnaraja Sagara,1,gnn,-1.389,11.613
val,Krishnaraja Sagara,1,persist,-0.849,10.216
val,Krishnaraja Sagara,1,clim,-0.917,10.403
val,Krishnaraja Sagara,2,gnn,-3.698,16.672
val,Krishnaraja Sagara,2,persist,-1.836,12.953
val,Krishnaraja Sagara,2,clim,-0.91,10.632
val,Krishnaraja Sagara,3,gnn,-3.939,17.471
val,Krishnaraja Sagara,3,persist,-1.212,11.693
val,Krishnaraja Sagara,3,clim,-0.956,10.994
val,Krishnaraja Sagara,4,gnn,-4.088,17.821
val,Krishnaraja Sagara,4,persist,0.431,5.962
val,Krishnaraja Sagara,4,clim,-1.058,11.334
val,Krishnaraja Sagara,5,gnn,-4.925,19.122
val,Krishnaraja Sagara,5,persist,-0.22,8.677
val,Krishnaraja Sagara,5,clim,-1.169,11.57
val,Krishnaraja Sagara,6,gnn,-5.033,19.743
val,Krishnaraja Sagara,6,persist,-1.488,12.677
val,Krishnaraja Sagara,6,clim,-1.122,11.707
val,Krishnaraja Sagara,7,gnn,-4.815,19.738
val,Krishnaraja Sagara,7,persist,-1.448,12.806
val,Krishnaraja Sagara,7,clim,-1.15,12.003
val,Krishnaraja Sagara,8,gnn,-4.639,19.51
val,Krishnaraja Sagara,8,persist,-0.237,9.137
val,Krishnaraja Sagara,8,clim,-1.249,12.322
val,Krishnaraja Sagara,9,gnn,-4.579,19.165
val,Krishnaraja Sagara,9,persist,0.239,7.078
val,Krishnaraja Sagara,9,clim,-1.385,12.532
val,Krishnaraja Sagara,10,gnn,-4.317,19.092
val,Krishnaraja Sagara,10,persist,-1.123,12.065
val,Krishnaraja Sagara,10,clim,-1.341,12.668
val,Krishnaraja Sagara,11,gnn,-4.093,18.992
val,Krishnaraja Sagara,11,persist,-1.532,13.392
val,Krishnaraja Sagara,11,clim,-1.366,12.946
val,Krishnaraja Sagara,12,gnn,-3.922,18.765
val,Krishnaraja Sagara,12,persist,-0.79,11.318
val,Krishnaraja Sagara,12,clim,-1.455,13.254
val,Mettur,1,gnn,-1.087,25.992
val,Mettur,1,persist,-0.539,22.321
val,Mettur,1,clim,-0.529,22.244
val,Mettur,2,gnn,-3.689,41.186
val,Mettur,2,persist,-1.747,31.525
val,Mettur,2,clim,-0.445,22.863
val,Mettur,3,gnn,-4.434,46.009
val,Mettur,3,persist,-0.939,27.481
val,Mettur,3,clim,-0.421,23.525
val,Mettur,4,gnn,-4.931,48.818
val,Mettur,4,persist,0.514,13.968
val,Mettur,4,clim,-0.397,23.696
val,Mettur,5,gnn,-6.396,54.18
val,Mettur,5,persist,0.008,19.846
val,Mettur,5,clim,-0.355,23.187
val,Mettur,6,gnn,-6.679,56.323
val,Mettur,6,persist,-1.396,31.464
val,Mettur,6,clim,-0.296,23.139
val,Mettur,7,gnn,-6.486,56.282
val,Mettur,7,persist,-1.34,31.467
val,Mettur,7,clim,-0.297,23.427
val,Mettur,8,gnn,-6.248,55.753
val,Mettur,8,persist,-0.046,21.185
val,Mettur,8,clim,-0.309,23.69
val,Mettur,9,gnn,-6.187,54.845
val,Mettur,9,persist,0.242,17.813
val,Mettur,9,clim,-0.31,23.412
val,Mettur,10,gnn,-5.859,54.403
val,Mettur,10,persist,-0.991,29.31
